"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2950","RT @SEGIBdigital: #Uruguay 🇺🇾 es uno de los principales impulsores de la cooperación Iberoamericana, con participación en 16 de 23 programa…",FALSE,0,NA,2018-08-28 20:44:49,FALSE,NA,"1034542340856311809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AuciUruguay",14,TRUE,FALSE,NA,NA
"2951","RT @edutransformauy: En la página web encontrarás toda la información sobre el evento así como el formulario de inscripción.

En breve se a…",FALSE,0,NA,2018-08-28 20:43:04,FALSE,NA,"1034541901171580928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mamacrece",1,TRUE,FALSE,NA,NA
"2952","RT @MaurAntunez: Las declaraciones de Schoklender apuntan a que #LaRutaDelDineroK financiaba campañas en Latinoamérica, en #Uruguay también…",FALSE,0,NA,2018-08-28 20:42:08,FALSE,NA,"1034541664940032000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jmartinezjorge",75,TRUE,FALSE,NA,NA
"2953","RT @FAOAmericas: Con ocasión de su visita a la @FAO, el expresidente de #Uruguay, José Mujica, opina sobre los grandes retos del siglo XXI,…",FALSE,0,NA,2018-08-28 20:41:59,FALSE,NA,"1034541627753340928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","venezuelaong",21,TRUE,FALSE,NA,NA
"2954","RT @jgamorin: Las reglas de juego deben ser claras y firmes para todos

Actores tienen derechos y deberes y el Estado debe garantizarlos. A…",FALSE,0,NA,2018-08-28 20:41:29,FALSE,NA,"1034541503178317825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nicomatute19",29,TRUE,FALSE,NA,NA
"2955","RT @OITconosur: Nuevo reportaje OIT: Cómo una ley fomenta los servicios de prestación de cuidados y suprime los estereotipos de género en #…",FALSE,0,NA,2018-08-28 20:41:20,FALSE,NA,"1034541462552293377",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CCmpic",24,TRUE,FALSE,NA,NA
"2956","RT @SEGIBdigital: La Secretaria General Iberoamericana @RGrynspan dialogó con el presidente de #Uruguay 🇺🇾 Tabaré Vázquez sobre la agenda d…",FALSE,0,NA,2018-08-28 20:41:10,FALSE,NA,"1034541422232387584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AuciUruguay",13,TRUE,FALSE,NA,NA
"2957","#Uruguay #Montevideo  El pasado domingo, se llevó a cabo en el Teatro Solís la presentación  del documental ""Vivir… https://t.co/NcoQkFCrjf",FALSE,26,NA,2018-08-28 20:39:30,TRUE,NA,"1034541000822276096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mediareduy",7,FALSE,FALSE,NA,NA
"2958","Hermosa tarde de sol visitando @FamiliaDeicas con alumnos #Gen2018 !
Les dejamos sólo algunas de las fotos.
Gracias… https://t.co/Byj6ubd4qO",FALSE,4,NA,2018-08-28 20:38:06,TRUE,NA,"1034540648467193857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SommelierFQ",0,FALSE,FALSE,NA,NA
"2959","RT @FAOAmericas: Con ocasión de su visita a la @FAO, el expresidente de #Uruguay, José Mujica, opina sobre los grandes retos del siglo XXI,…",FALSE,0,NA,2018-08-28 20:37:01,FALSE,NA,"1034540378941259776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CEDOC_Conapred",21,TRUE,FALSE,NA,NA
"2960","RT @xChuky26x: El mundo por la vida 💙🌏

#EsHoy #SalvemosLas2Vidas #NoAlAborto #SiALaVida #ProVida #ArgentinaDefiendeLaVida #Brasil #Chile #…",FALSE,0,NA,2018-08-28 20:36:58,FALSE,NA,"1034540365804711936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MeelRaven",22,TRUE,FALSE,NA,NA
"2961","RT @FAOAmericas: Con ocasión de su visita a la @FAO, el expresidente de #Uruguay, José Mujica, opina sobre los grandes retos del siglo XXI,…",FALSE,0,NA,2018-08-28 20:36:39,FALSE,NA,"1034540283545968640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CINUmexico",21,TRUE,FALSE,NA,NA
"2962","RT @QNuevomedio: Quien mantiene las drogas ilegales?
Los gobiernos...quien se lucra?
Pues tiene que ser los gobiernos o no?
#Paraguay #Puer…",FALSE,0,NA,2018-08-28 20:34:37,FALSE,NA,"1034539773686370304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","QNuevomedio",14,TRUE,FALSE,NA,NA
"2963","RT @QNuevomedio: El Imperio Romano del Vaticano, controlan todos sus paises...a la religión islámica y destruyen a la humanidad
#Paraguay #…",FALSE,0,NA,2018-08-28 20:34:30,FALSE,NA,"1034539742686322688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","QNuevomedio",30,TRUE,FALSE,NA,NA
"2964","Entre #Argentina y #Uruguay no hacemos uno eh",FALSE,0,NA,2018-08-28 20:34:07,FALSE,NA,"1034539647773368320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","antonia_revo",0,FALSE,FALSE,NA,NA
"2965","RT @PabloLarraz10: #SHOCKFA
Corrupción K salpica a #Uruguay. La campaña del FA fue financiada con plata que los K robaron... https://t.co/c…",FALSE,0,NA,2018-08-28 20:33:47,FALSE,NA,"1034539563899920386",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","erikaahilen",71,TRUE,FALSE,NA,NA
"2966","RT @FAOAmericas: Con ocasión de su visita a la @FAO, el expresidente de #Uruguay, José Mujica, opina sobre los grandes retos del siglo XXI,…",FALSE,0,NA,2018-08-28 20:32:33,FALSE,NA,"1034539251977912321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","REDCIUDADANA1",21,TRUE,FALSE,NA,NA
"2967","RT @fesminismos: #Uruguay: Un sistema de cuidados adecuado para las necesidades de madres y padres es una parte esencial de una #EconomíaFe…",FALSE,0,NA,2018-08-28 20:32:18,FALSE,NA,"1034539190346809345",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FESChile",3,TRUE,FALSE,NA,NA
